business_name,primary_surface_used,usd_irr_quote_detected,aed_irr_quote_detected,remittance_quote_detected,repeated_quote_signal,freshness_status,parseability_score,reliability_score,basket_use_status,usable_record_count,numeric_quote_count,top_signal_sample
AED to IRR,website:https://exchangerates.org.uk/Dirhams-to-Iran-Rial-currency-conversion-page.html,False,True,True,True,fresh,94,100,publishable,3,3,1 AED = 374720.3975 IRR Tuesday 23 June 2026 1 AED = 374649.1183 IRR Monday 22 June 2026 1 AED = 374404.7421 IRR For full history please visit AED/IRR exchange rate history page To convert Dirhams to Iran Rial or determine the Dirham Iran R...
Iranianuae,website:https://iranianuae.ae/gold-forex,True,True,True,True,fresh,78,100,publishable,4,4,Skip navigation دوشنبه، 29 ژوئن 2026 | 23:30 امارات فارسی | العربية | English ايرانيان امارات امارات حوادث دولت رهبران امارات آموزش بهداشت و درمان حمل‌ونقل آب‌وهوا و محیط زیست پلیسی و حقوقی دبی ابوظبی شارجه عجمان رأس‌الخیمه فجیره ام‌القوین ...
KARAMA – City Exchange Uae,rate_page:https://cityexchangeuae.com/,True,True,True,True,fresh,74,100,publishable,3,3,"Home Send money worldwide with City Exchange City Exchange offers secure, quick fund transfers at competitive rates, partnering with major banks as well as Money Transfer Organizations. Your trusted partner for Foreign Currency Exchange Get..."
تبدیل درهم امارات به دلار آمریکا,rate_page:https://arzdigital.com/,True,True,True,True,fresh,68,100,publishable,29,29,"صرافی جهانی: ارزش بازار: 2.083 تریلیون دلار قیمت تتر: 170,579 تومان خرید دانلود محصولات"
حواله به امارات، حواله درهم امارات، حواله دلار دبی,rate_page:https://ir-europe.com/,True,True,True,True,fresh,68,100,publishable,35,35,"تماس با ما واتس اپ حواله درهم به امارات، حواله به امارات 2026 قیمت حواله درهم به امارات 46,900 تومان قیمت حواله دلار به امارات 170,450 تومان"
قیمت درهم امارات امروز,telegram:https://t.me/s/arzbin_live,True,True,True,True,fresh,92,100,publishable,17,17,درهم(AED) تومان(IRT) 1 درهم 46780 تومان 5 درهم 233901 تومان 10 درهم
قیمت درهم، قیمت درهم امروز، نرخ درهم به تومان,website:https://iranbroker.com/fxrate/aed,True,True,True,True,fresh,74,100,publishable,23,23,قیمت لحظه‌ای درهم امروز AED 46٬060 تومان 1٫72٪ 24 ساعت خرید: 45٬830 تومان فروش: 46٬290 تومان
"های امارت| صرافی ایرانی در دبی, نرخ لحظه ای درهم، طلا و نقره",rate_page:https://hiemarat.com/fiat-currency,True,True,True,True,fresh,74,100,publishable,9,9,"نرخ لحظه ای درهم امارت در صرافی دبی به روز رسانی: تیر 6, 1405 6:27 ب٫ظ درهم امروز صرافی دبی : 46,000 محاسبه گر قیمت فروش ارز: درهم امارات افغانی"
چنج پول در دبی 2026,rate_page:https://dxboffplan.com/,False,True,True,True,fresh,74,100,publishable,4,4,"Palace Residence Al Mamsha Starting from AED 1,650,000 Al Mamsha, Sharjah, UAE Developer: Alef Group Apartment Available Units"
"Exclusive-UAE to unlock billions of dollars for Iran, sources say",website:https://yahoo.com/news/world/articles/exclusive-uae-unlock-billions-dollars-181223224.html,True,False,True,True,fresh,82,100,monitor_only,2,2,"Exclusive-UAE to unlock billions of dollars for Iran, sources say try { var forced = ''; var match = document.cookie.match(/(?:^|;)\s*pcs=([^;]*)/); var raw = ''; try { raw = match ? decodeURIComponent(match[1]) : ''; } catch(e) { raw = mat..."
ارسال پول به امارات متحده عربی,website:https://iranicard.ir/payments/transfer-money/uae,False,True,True,True,fresh,78,97,monitor_only,2,2,"ارسال پول به امارات متحده عربی طی یک ساعت الی یک روز - ایرانیکارت {""@context"":""https:\/\/schema.org"",""@graph"":[{""@type"":""WebPage"",""@id"":""https:\/\/www.iranicard.ir\/payments\/transfer-money\/uae\/"",""url"":""https:\/\/www.iranicard.ir\/payment..."
تبدیل درهم به تومان لحظه‌ای,website:https://emeraldxe.com/service/%D8%AD%D9%88%D8%A7%D9%84%D9%87-%D8%AF%D8%B1%D9%87%D9%85,False,True,True,True,fresh,74,95,monitor_only,2,2,خدمات بانکی کردیت کارت کردیت کارت امارات کردیت کارت تاجیکستان کردیت کارت آذربایجان حواله جات بانکی حواله به اروپا حواله یوان چین انتقال پول به ایران حواله جات آنلاین حواله وسترن یونیون حواله مانی‌گرام حواله پی‌پال پرداخت آنلاین با ویزاکارت ...
صرافی دبی,rate_page:https://sarafyhafez.com/,True,False,True,True,fresh,59,93,monitor_only,2,2,"تنها یک روز کاری حداقل و حداکثر مبلغ هر تراکنش چقدر است؟ حداقل مبلغ ارسال به ایران 4000 دلار کانادا و حداقل مبلغ دریافتی از ایران 500 دلار می باشد. حداکثر وجود ندارد. برای مبالغ بیشتر از 200,000 دلار برای مشاوره خصوصی تماس بگیرید مراحل ریفا..."
"Dubai Property ROI Calculator — Yield, Appreciation & IRR",website:https://idigov.com/en/tools/roi-calculator,False,True,False,False,fresh,96,79,monitor_only,1,1,"Dubai Property ROI Calculator — Yield, Appreciation & IRR | Idigov Group {""@context"":""https://schema.org"",""@type"":[""Organization"",""RealEstateAgent""],""@id"":""https://idigov.com/#organization"",""name"":""Idigov Group"",""legalName"":""Idigov Group"",""..."
صرافی صادق محمودی دیره دبی,rate_page:https://dubairahnama.net/,False,True,False,False,fresh,93,78,monitor_only,1,1,"(function() { var href = ""/static/flag-icons/flag-icons.min.css""; var delayMs = 300; var timeoutMs = 1500; function load() { var link = document.createElement(""link""); link.rel = ""stylesheet""; link.href = href; var done = false; var timer =..."
Final Settlement Calculator UAE 2026,website:https://revisiontown.com/final-settlement-calculator-uae,False,True,True,False,fresh,74,77,monitor_only,1,1,"The total gratuity is capped at the equivalent of two years (24 months) of basic salary , regardless of how many years you have worked. For an employee with AED 10,000 basic salary, the maximum gratuity is AED 240,000. When must the employe..."
How to move an Iranian business to Dubai?,website:https://kwsme.com/blog/iranian-business-to-dubai,True,True,True,True,stale,74,87,stale,9,9,"{""@context"":""https://schema.org"",""@graph"":[{""@type"":""Place"",""@id"":""https://kwsme.com/#place"",""address"":{""@type"":""PostalAddress"",""streetAddress"":""Office No. M03 Latifa Tower"",""addressLocality"":""Sheikh Zayed Road"",""addressRegion"":""Dubai"",""add..."
